,native_250,buffer_250,secialCase_250,leftPadEmber_250,leftPadTravvy_250,leftPad_250
50,250,355,251,252,248,376
500,251,447,249,296,249,2090
1000,252,538,249,366,250,3900

,native_500,buffer_500,secialCase_500,leftPadEmber_500,leftPadTravvy_500,leftPad_500
50,493,661,483,501,480,856
500,491,917,489,572,486,4094
1000,486,1123,480,751,483,7775

,native_750,buffer_750,secialCase_750,leftPadEmber_750,leftPadTravvy_750,leftPad_750
50,725,1119,716,726,704,1276
500,715,1427,713,899,720,6518
1000,718,1633,722,1184,717,11611

,native_1000,buffer_1000,secialCase_1000,leftPadEmber_1000,leftPadTravvy_1000,leftPad_1000
50,920,1391,951,961,970,1690
500,977,1837,953,1217,921,8124
1000,946,2495,927,1565,860,15660

,native_2000,buffer_2000,secialCase_2000,leftPadEmber_2000,leftPadTravvy_2000,leftPad_2000

